Time,Month,#Passengers
1,1949-01,112
2,1949-02,118
3,1949-03,132
4,1949-04,129
5,1949-05,121
6,1949-06,135
7,1949-07,148
8,1949-08,148
9,1949-09,136
10,1949-10,119
11,1949-11,104
12,1949-12,118
13,1950-01,115
14,1950-02,126
15,1950-03,141
16,1950-04,135
17,1950-05,125
18,1950-06,149
19,1950-07,170
20,1950-08,170
21,1950-09,158
22,1950-10,133
23,1950-11,114
24,1950-12,140
25,1951-01,145
26,1951-02,150
27,1951-03,178
28,1951-04,163
29,1951-05,172
30,1951-06,178
31,1951-07,199
32,1951-08,199
33,1951-09,184
34,1951-10,162
35,1951-11,146
36,1951-12,166
37,1952-01,171
38,1952-02,180
39,1952-03,193
40,1952-04,181
41,1952-05,183
42,1952-06,218
43,1952-07,230
44,1952-08,242
45,1952-09,209
46,1952-10,191
47,1952-11,172
48,1952-12,194
49,1953-01,196
50,1953-02,196
51,1953-03,236
52,1953-04,235
53,1953-05,229
54,1953-06,243
55,1953-07,264
56,1953-08,272
57,1953-09,237
58,1953-10,211
59,1953-11,180
60,1953-12,201
61,1954-01,204
62,1954-02,188
63,1954-03,235
64,1954-04,227
65,1954-05,234
66,1954-06,264
67,1954-07,302
68,1954-08,293
69,1954-09,259
70,1954-10,229
71,1954-11,203
72,1954-12,229
73,1955-01,242
74,1955-02,233
75,1955-03,267
76,1955-04,269
77,1955-05,270
78,1955-06,315
79,1955-07,364
80,1955-08,347
81,1955-09,312
82,1955-10,274
83,1955-11,237
84,1955-12,278
85,1956-01,284
86,1956-02,277
87,1956-03,317
88,1956-04,313
89,1956-05,318
90,1956-06,374
91,1956-07,413
92,1956-08,405
93,1956-09,355
94,1956-10,306
95,1956-11,271
96,1956-12,306
97,1957-01,315
98,1957-02,301
99,1957-03,356
100,1957-04,348
101,1957-05,355
102,1957-06,422
103,1957-07,465
104,1957-08,467
105,1957-09,404
106,1957-10,347
107,1957-11,305
108,1957-12,336
109,1958-01,340
110,1958-02,318
111,1958-03,362
112,1958-04,348
113,1958-05,363
114,1958-06,435
115,1958-07,491
116,1958-08,505
117,1958-09,404
118,1958-10,359
119,1958-11,310
120,1958-12,337
121,1959-01,360
122,1959-02,342
123,1959-03,406
124,1959-04,396
125,1959-05,420
126,1959-06,472
127,1959-07,548
128,1959-08,559
129,1959-09,463
130,1959-10,407
131,1959-11,362
132,1959-12,405
133,1960-01,417
134,1960-02,391
135,1960-03,419
136,1960-04,461
137,1960-05,472
138,1960-06,535
139,1960-07,622
140,1960-08,606
141,1960-09,508
142,1960-10,461
143,1960-11,390
144,1960-12,432
